subject,grp,indx,y
1,grp1,t1,14.1
1,grp1,t2,14.4
1,grp1,t3,14.1
2,grp1,t1,14.5
2,grp1,t2,14.6
2,grp1,t3,14.3
3,grp1,t1,15.7
3,grp1,t2,15.2
3,grp1,t3,14.9
4,grp1,t1,16
4,grp1,t2,15.5
4,grp1,t3,15.3
5,grp1,t1,16.5
5,grp1,t2,15.8
5,grp1,t3,15.7
6,grp1,t1,16.9
6,grp1,t2,16.5
6,grp1,t3,16.2
7,grp1,t1,17
7,grp1,t2,16.8
7,grp1,t3,16.5
8,grp1,t1,17
8,grp1,t2,17.1
8,grp1,t3,16.6
9,grp1,t1,17.3
9,grp1,t2,16.9
9,grp1,t3,16.5
10,grp1,t1,17.3
10,grp1,t2,17.1
10,grp1,t3,16.7
11,grp1,t1,17.8
11,grp1,t2,17.7
11,grp1,t3,17.3
12,grp1,t1,17.9
12,grp1,t2,17.7
12,grp1,t3,17.5
13,grp1,t1,19.1
13,grp1,t2,19.4
13,grp1,t3,19.3
14,grp1,t1,19.4
14,grp1,t2,19.2
14,grp1,t3,17.3
15,grp1,t1,19.8
15,grp1,t2,20
15,grp1,t3,19.4
16,grp2,t1,13.7
16,grp2,t2,13.4
16,grp2,t3,12.7
17,grp2,t1,14.7
17,grp2,t2,14.8
17,grp2,t3,13.1
18,grp2,t1,14.9
18,grp2,t2,14.4
18,grp2,t3,13.6
19,grp2,t1,15.1
19,grp2,t2,14.8
19,grp2,t3,13.6
20,grp2,t1,15.8
20,grp2,t2,14.8
20,grp2,t3,14.2
21,grp2,t1,16.4
21,grp2,t2,15.7
21,grp2,t3,14.9
22,grp2,t1,16.6
22,grp2,t2,16.9
22,grp2,t3,16.1
23,grp2,t1,16.9
23,grp2,t2,16.9
23,grp2,t3,16.1
24,grp2,t1,16.9
24,grp2,t2,16.9
24,grp2,t3,16.3
25,grp2,t1,17.2
25,grp2,t2,17.3
25,grp2,t3,15.9
26,grp2,t1,17.8
26,grp2,t2,18.2
26,grp2,t3,17.4
27,grp2,t1,17.8
27,grp2,t2,17.7
27,grp2,t3,16.9
28,grp2,t1,18.2
28,grp2,t2,17.8
28,grp2,t3,17.1
29,grp2,t1,18.4
29,grp2,t2,18.5
29,grp2,t3,17.3
30,grp2,t1,19.3
30,grp2,t2,18.9
30,grp2,t3,17.7
31,grp3,t1,14.6
31,grp3,t2,13
31,grp3,t3,11.7
32,grp3,t1,15
32,grp3,t2,13
32,grp3,t3,11.9
33,grp3,t1,15.5
33,grp3,t2,12.7
33,grp3,t3,11
34,grp3,t1,15.7
34,grp3,t2,14.1
34,grp3,t3,12.1
35,grp3,t1,16.4
35,grp3,t2,14.4
35,grp3,t3,12.3
36,grp3,t1,16.9
36,grp3,t2,14.5
36,grp3,t3,13.6
37,grp3,t1,17.1
37,grp3,t2,15.6
37,grp3,t3,14.3
38,grp3,t1,17.3
38,grp3,t2,15.4
38,grp3,t3,14.2
39,grp3,t1,17.5
39,grp3,t2,15.6
39,grp3,t3,14.4
40,grp3,t1,17.6
40,grp3,t2,14.8
40,grp3,t3,13.8
41,grp3,t1,17.8
41,grp3,t2,16.1
41,grp3,t3,14.3
42,grp3,t1,17.9
42,grp3,t2,15.7
42,grp3,t3,13.8
43,grp3,t1,18.4
43,grp3,t2,16.7
43,grp3,t3,15.4
44,grp3,t1,18.5
44,grp3,t2,16.4
44,grp3,t3,15.1
45,grp3,t1,19
45,grp3,t2,17.2
45,grp3,t3,15.5
