anxiety,resilience,stress
48,3.1666666666666665,7
50,4,6
29,4,2
44,3.1666666666666665,1
29,3.8333333333333335,2
49,3,6
24,3.5,2
45,3,10
27,3.5,1
29,4,1.5
37,3.8333333333333335,7.5
33,3.6666666666666665,1
25,3.6666666666666665,1
50,3.3333333333333335,4
52,2.6666666666666665,5
61,3.1666666666666665,5.5
31,4.333333333333333,1.5
30,3.3333333333333335,3
31,4,2
NA,NA,1
39,2.6666666666666665,7
45,3.1666666666666665,2
47,2.8333333333333335,8
27,3.6666666666666665,4.5
54,2.5,9
47,3,3
25,4.166666666666667,3
31,4,7
42,3,8
50,3.8333333333333335,7
55,1.8333333333333333,8
48,4.166666666666667,7
48,3.8333333333333335,1
55,2,7
58,3.3333333333333335,6
48,2.5,7
29,2.8333333333333335,1
62,2.6666666666666665,6.5
48,3.6666666666666665,4
50,1.5,5
56,2.1666666666666665,7
46,2.8333333333333335,8
31,3.8333333333333335,6
27,4.666666666666667,2
61,3,6.5
38,5,2.5
37,3.6666666666666665,4
25,5,7
27,3.1666666666666665,9
37,4.333333333333333,8
62,2,9
39,3,2
48,3.3333333333333335,7
27,4.666666666666667,1
32,3.6666666666666665,7
48,2.5,7
NA,NA,4
27,5,2.5
31,4.5,3
68,2.3333333333333335,8
45,4.5,7.5
44,3.5,7
52,2.3333333333333335,9
45,3,7.5
30,4.666666666666667,1
46,3.1666666666666665,3
66,3.1666666666666665,7
32,2.8333333333333335,6
42,3,8
46,3.5,7.3
NA,NA,7
26,4.333333333333333,4
28,2.5,8
31,4.333333333333333,2
48,3.5,8
35,4.666666666666667,1
47,1.6666666666666667,6.5
51,2.8333333333333335,6
73,1,7
45,2.8333333333333335,4
31,5,8
41,3.6666666666666665,7
45,2.8333333333333335,9
28,3.3333333333333335,4
NA,NA,7.5
32,3.5,2
41,3.6666666666666665,3.5
32,3.5,2.5
NA,NA,6.5
33,3.6666666666666665,3.5
25,4.333333333333333,3
32,3.8333333333333335,3
43,3.5,6.5
59,3.3333333333333335,8
32,4,4
48,3.5,7.5
42,3.8333333333333335,2.5
53,2.5,9
39,4,8
65,1.6666666666666667,7.5
54,3.3333333333333335,7
31,2.3333333333333335,5
55,2.6666666666666665,7
46,3.3333333333333335,7
68,2,8
NA,NA,10
42,2,7
48,3.3333333333333335,7
45,3,7
24,5,1
21,5,1
35,3.6666666666666665,7
54,2.3333333333333335,8
34,4,7
23,4.666666666666667,1.5
41,2.1666666666666665,6.5
NA,NA,6
49,3.8333333333333335,6.5
41,4,4
48,2.6666666666666665,5
45,2.1666666666666665,7
51,2.6666666666666665,8.5
46,2.6666666666666665,8
NA,NA,NA
